num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics
1;cics_1;habilita;85044010;CFI;10;;;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;Ônibus
2;cics_1;habilita;85076000;CFI;10;;;;Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular.;Ônibus
3;cics_1;habilita;87023000;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus
4;cics_1;habilita;87024010;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus
5;cics_1;habilita;87024090;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus
6;cics_1;habilita;87022000;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus
7;cics_1;habilita;87029000;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus
8;cics_1;habilita;87021000;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus
9;cics_1;habilita;87060010;CFI;10;;;;Chassis com motor para os veículos automóveis das posições 87.01 a 87.05.;Ônibus
10;cics_1;habilita;87060090;CFI;10;;;;Chassis com motor para os veículos automóveis das posições 87.01 a 87.05.;Ônibus
11;cics_1;habilita;87079090;CFI;10;;;;Carroçarias para os veículos automóveis das posições 87.01 a 87.05, incluindo as cabinas.;Ônibus
12;cics_1;habilita;86011000;CFI;10;;;;Locomotivas e locotratores, de fonte externa de eletricidade ou de acumuladores elétricos.;Sistemas Metroferroviários
13;cics_1;habilita;86012000;CFI;10;;;;Locomotivas e locotratores, de fonte externa de eletricidade ou de acumuladores elétricos.;Sistemas Metroferroviários
14;cics_1;habilita;86021000;CFI;10;;;;"Outras locomotivas e locotratores; tênderes.";Sistemas Metroferroviários
15;cics_1;habilita;86029000;CFI;10;;;;"Outras locomotivas e locotratores; tênderes.";Sistemas Metroferroviários
16;cics_1;habilita;86031000;CFI;10;;;;Litorinas (automotoras), mesmo para circulação urbana, exceto as da posição 86.04.;Sistemas Metroferroviários
17;cics_1;habilita;86039000;CFI;10;;;;Litorinas (automotoras), mesmo para circulação urbana, exceto as da posição 86.04.;Sistemas Metroferroviários
18;cics_1;habilita;86040010;CFI;10;;;;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsados (por exemplo, vagões-oficinas, vagões-guindastes, vagões equipados com batedores de balastro, alinhadores de vias, viaturas para testes e dresinas).;Sistemas Metroferroviários
19;cics_1;habilita;86040090;CFI;10;;;;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsados (por exemplo, vagões-oficinas, vagões-guindastes, vagões equipados com batedores de balastro, alinhadores de vias, viaturas para testes e dresinas).;Sistemas Metroferroviários
20;cics_1;habilita;86061000;CFI;10;;;;Vagões para transporte de mercadorias sobre vias férreas.;Sistemas Metroferroviários
21;cics_1;habilita;86069100;CFI;10;;;;Vagões para transporte de mercadorias sobre vias férreas.;Sistemas Metroferroviários
22;cics_1;habilita;86069200;CFI;10;;;;Vagões para transporte de mercadorias sobre vias férreas.;Sistemas Metroferroviários
23;cics_1;habilita;86069900;CFI;10;;;;Vagões para transporte de mercadorias sobre vias férreas.;Sistemas Metroferroviários
24;cics_1;habilita;86071110;CFI;10;;;;Partes de veículos para vias férreas ou semelhantes.;Sistemas Metroferroviários
25;cics_1;habilita;86080012;CFI;10;;;;"Material fixo de vias férreas ou semelhantes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização, de segurança, de controle ou de comando para vias férreas ou semelhantes, rodoviárias ou fluviais, para áreas ou parques de estacionamento, instalações portuárias ou para aeródromos; suas partes.";Sistemas Metroferroviários
26;cics_1;habilita;90328930;CFI;10;;;;Instrumentos e aparelhos para regulação ou controle, automáticos.;Sistemas Metroferroviários
