num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_7;Está em cics8
13;cics_4;habilita;8423;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Aparelhos e instrumentos de pesagem, incluindo as básculas e balanças para verificar peças usinadas (fabricadas*), excluindo as balanças sensíveis a pesos não superiores a 5 cg; pesos para quaisquer balanças.";TICs;1;1;2;2
14;cics_4;habilita;8429;CFI; 10 ;;;;Bulldozers, angledozers, niveladores, raspo-transportadores (scrapers), pás mecânicas, escavadores, carregadores e pás carregadoras, compactadores e rolos ou cilindros compressores, autopropulsados.;Linha Amarela;0;0;2;2
15;cics_4;habilita;8430;CFI; 10 ;;;;"Outras máquinas e aparelhos de terraplenagem, nivelamento, raspagem, escavação, compactação, extração ou perfuração da terra, de minerais ou minérios; bate-estacas e arranca-estacas; limpa-neves.";Linha Amarela;0;0;2;2
16;cics_4;habilita;8443;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Máquinas e aparelhos de impressão por meio de placas, cilindros e outros elementos de impressão da posição 84.42; outras impressoras, aparelhos de copiar e aparelhos de telecopiar (fax), mesmo combinados entre si; partes e acessórios.";TICs;0;0;2;2
17;cics_4;habilita;8471;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
18;cics_4;habilita;8473;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Partes e acessórios (exceto estojos, capas e semelhantes) reconhecíveis como exclusiva ou principalmente destinados às máquinas ou aparelhos das posições 84.70 a 84.72.;TICs;0;0;2;2
19;cics_4;habilita;8507;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular.;TICs;0;0;2;2
20;cics_4;habilita;8517;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
21;cics_4;habilita;8526;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Aparelhos de radiodetecção e de radiossondagem (radar), aparelhos de radionavegação e aparelhos de radiotelecomando.;TICs;0;0;2;2
22;cics_4;habilita;8531;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Aparelhos elétricos de sinalização acústica ou visual (por exemplo, campainhas, sirenes, painéis indicadores, aparelhos de alarme para proteção contra roubo ou incêndio), exceto os das posições 85.12 ou 85.30.;TICs;0;0;2;2
23;cics_4;habilita;8541;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
24;cics_4;habilita;8542;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Circuitos integrados eletrônicos.;TICs;0;0;2;2
25;cics_4;habilita;8543;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Máquinas e aparelhos elétricos com função própria, não especificados nem compreendidos noutras posições do presente Capítulo.;TICs;0;0;2;2
26;cics_4;habilita;8601;CFI; 10 ;;;;Locomotivas e locotratores, de fonte externa de eletricidade ou de acumuladores elétricos.;Sistemas Metroferroviários;0;0;2;2
27;cics_4;habilita;8602;CFI; 10 ;;;;"Outras locomotivas e locotratores; tênderes.";Sistemas Metroferroviários;0;0;2;2
28;cics_4;habilita;8603;CFI; 10 ;;;;Litorinas (automotoras), mesmo para circulação urbana, exceto as da posição 86.04.;Sistemas Metroferroviários;0;0;2;2
29;cics_4;habilita;8701;CFI; 10 ;;;;Tratores (exceto os carros-tratores da posição 87.09).;Linha Amarela;0;0;2;2
30;cics_4;habilita;8702;CFI; 10 ;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus;0;0;2;2
31;cics_4;habilita;9026;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
32;cics_4;habilita;9027;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
33;cics_4;habilita;9028;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Contadores de gases, de líquidos ou de eletricidade, incluindo os aparelhos para a sua aferição.;TICs;0;0;2;2
34;cics_4;habilita;9029;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Outros contadores (por exemplo, contadores de voltas, contadores de produção, taxímetros, totalizadores de caminho percorrido, podômetros); indicadores de velocidade e tacômetros, exceto os das posições 90.14 ou 90.15; estroboscópios.";TICs;0;0;2;2
35;cics_4;habilita;9030;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Osciloscópios, analisadores de espectro e outros instrumentos e aparelhos para medida ou controle de grandezas elétricas; instrumentos e aparelhos para medida ou detecção de radiações alfa, beta, gama, X, cósmicas ou outras radiações ionizantes.";TICs;0;0;2;2
36;cics_4;habilita;9031;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Instrumentos, aparelhos e máquinas de medida ou controle, não especificados nem compreendidos noutras posições do presente Capítulo; projetores de perfis.";TICs;0;0;2;2
