num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_4;Está em cics_7
1;cics_8;habilita;85044010;CFI;10;;;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;Ônibus;1;1;1;2
2;cics_8;habilita;85076000;CFI;10;;;;Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular.;Ônibus;1;1;1;1
3;cics_8;habilita;8601;CFI;10;;;;Locomotivas e locotratores, de fonte externa de eletricidade ou de acumuladores elétricos.;Sistemas Metroferroviários;0;0;1;2
4;cics_8;habilita;8602;CFI;10;;;;"Outras locomotivas e locotratores; tênderes.";Sistemas Metroferroviários;0;0;1;2
5;cics_8;habilita;8603;CFI;10;;;;Litorinas (automotoras), mesmo para circulação urbana, exceto as da posição 86.04.;Sistemas Metroferroviários;0;0;1;2
6;cics_8;habilita;86069;CFI;10;;;;Vagões para transporte de mercadorias sobre vias férreas.;Sistemas Metroferroviários;0;0;1;2
7;cics_8;habilita;86071110;CFI;10;;;;Partes de veículos para vias férreas ou semelhantes.;Sistemas Metroferroviários;1;1;1;2
8;cics_8;habilita;860400;CFI;10;;;;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsados (por exemplo, vagões-oficinas, vagões-guindastes, vagões equipados com batedores de balastro, alinhadores de vias, viaturas para testes e dresinas).;Sistemas Metroferroviários;0;0;1;2
9;cics_8;habilita;860500;CFI;10;;;;Vagões de passageiros (carruagens*), furgões para bagagem, vagões-postais e outros vagões especiais, para vias férreas ou semelhantes (excluindo as viaturas da posição 86.04).;Sistemas Metroferroviários;0;0;1;2
10;cics_8;habilita;86080012;CFI;10;;;;"Material fixo de vias férreas ou semelhantes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização, de segurança, de controle ou de comando para vias férreas ou semelhantes, rodoviárias ou fluviais, para áreas ou parques de estacionamento, instalações portuárias ou para aeródromos; suas partes.";Sistemas Metroferroviários;1;1;1;2
11;cics_8;habilita;8702;CFI;10;;;;Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista.;Ônibus;0;0;1;2
