resolucao;habilita_desabilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;anexo;descricao_ncm;exigência de aquisição nacional 
ciiapac_1;habilita;85023100;Código CFI;;;;;ANEXO I - EQUIPAMENTOS DE GERAÇÃO DE ENERGIA EÓLICA;Outros grupos eletrogêneos de energia eólica;sim
ciiapac_1;habilita;84798999;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Outras máquinas e aparelhos mecânicos com função própria;sim
ciiapac_1;habilita;85013120;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Gerador elétrico de corrente contínua, de potência não superior a 750 W;sim
ciiapac_1;habilita;85013220;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Gerador elétrico de corrente contínua, de potência superior a 750 W, mas não superior a 75 kW;sim
ciiapac_1;habilita;85013320;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Gerador elétrico de corrente contínua, de potência superior a 75 kW, mas não superior a 375 kW;sim
ciiapac_1;habilita;85013420;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Geradores elétricos de corrente contínua, potência > 375kw;sim
ciiapac_1;habilita;85017100;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Geradores fotovoltaicos de corrente contínua, de potência não superior a 50 W;sim
ciiapac_1;habilita;85017210;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Geradores fotovoltaicos de corrente contínua, de potência superior a 50 W, mas não superior a 75 kW;sim
ciiapac_1;habilita;85017290;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Outros geradores fotovoltaicos de corrente contínua, de potência superior a 50 W, não classificados em códigos anteriores;sim
ciiapac_1;habilita;85018000;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Geradores fotovoltaicos de corrente alternada;sim
ciiapac_1;habilita;85044090;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Outros conversores elétricos estáticos;sim
ciiapac_1;habilita;85414300;Código CFI;;;;;ANEXO II - SISTEMAS FOTOVOLTAICOS;Células fotovoltaicas montadas em módulos ou em painéis;sim
ciiapac_1;habilita;86011000;Código CFI;;;;;ANEXO III - SISTEMAS METROFERROVIÁRIOS;Locomotivas e locotratores, de fonte externa de eletricidade;sim
ciiapac_1;habilita;86012000;Código CFI;;;;;ANEXO III - SISTEMAS METROFERROVIÁRIOS;Locomotivas e locotratores, de acumuladores elétricos;sim
ciiapac_1;habilita;86021000;Código CFI;;;;;ANEXO III - SISTEMAS METROFERROVIÁRIOS;Locomotivas diesel-elétricas;sim
ciiapac_1;habilita;86029000;Código CFI;;;;;ANEXO III - SISTEMAS METROFERROVIÁRIOS;Outras locomotivas e locotratores, e tênderes;sim
